Question,Choices,Answer,Question Type,Domain,Category,Language,The Count of Category,Type
What is the most common dish in West Saudi Arabia?,–,"Saleeg, Sayadiyah, Kebab Al-Mirwa, Bukhari, Al-Ma’adousah, Salatat",Open-ended,Common,Food,English,24,Food
What is the most common sweet in West Saudi Arabia?,–,"Qamar Al-Din, Al-Ladu, Al-Labiyah, Al-Ghraibah, Al-Hareesah, Al-Dubayzah, Al-Masiyyah, Al-Saqdanah",Open-ended,Common,Food,English,5,Clothes
What is the common traditional street food in West Saudi Arabia?,–,"Balila, Potatoes",Open-ended,Common,Food,English,10,Celebration
What is the most common breakfast dish in West Saudi Arabia?,–,Foul and Tamees,Open-ended,Common,Food,English,14,Entertainment
What is the common traditional drink in West Saudi Arabia?,–,"Sobia, Raspberry Juice, Qamar Al-Din",Open-ended,Common,Food,English,9,Crafts and Work
What is the traditional clothing for men in West Saudi Arabia?,–,"Al-Thobe and Al-Sudairi, Al-Muharid (long-sleeved robe), Al-Aqal Al-Muqasab",Open-ended,Common,Clothes,English,10,Dating
What is the traditional clothing for women in West Saudi Arabia?,–,Al-Kurta,Open-ended,Common,Clothes,English,2,Languages and Communication
What is the traditional breakfast dish eaten after Eid in West Saudi Arabia?,–,Nowashif,Open-ended,Common,Celebration,English,0,Architecture
What are the common traditional dances in West Saudi Arabia?,–,Al-Mizmar,Open-ended,Common,Entertainment,English,,
What is the common traditional music in West Saudi Arabia?,–,Al-Majroor,Open-ended,Common,Entertainment,English,,
What is the common traditional craft in West Saudi Arabia?,–,"Rosaries and Taif rose perfume, Sadu, pottery products, leather tanning, Al-Dalw, Al-Sabt (land plowing)",Open-ended,Common,Crafts and Work,English,,
What is the name of the items the bride buys for her wedding in West Saudi Arabia?,–,Dabish,Open-ended,Common,Dating,English,,
What is the average amount of dowry presented to the wife in Saudi Arabia?,–,"30,000–40,000 SAR",Open-ended,Common,Dating,English,,
"How can ""Hubb Soup"" be classified as a traditional Saudi stew, and what complementary foods are served with it?",–,Meat,Open-ended,Specialized,Food,English,,
What is the name of a common drink in Western Saudi Arabia during Ramadan?,–,Qamar Al-Din,Open-ended,Specialized,Food,English,,
What type of rice turns brown and is always served with fried or grilled fish in West Saudi Arabia?,–,Sayadiyah,Open-ended,Specialized,Food,English,,
What are the most famous pastries in the Western region of Saudi Arabia?,–,"Al-Sharik, Al-Kaak, Al-Fetout",Open-ended,Specialized,Food,English,,
"What is the name of a famous spice blend in Madinah, Saudi Arabia, known for its distinctive flavor and essential use in local dishes?",–,Al-Daq Al-Madani,Open-ended,Specialized,Food,English,,
What is the name of a common drink in Western Saudi Arabia in winter?,–,Sahlab,Open-ended,Specialized,Food,English,,
What is the method of greeting a guest in the Western region?,–,Touching the nose and cheeks,Open-ended,Specialized,Languages and Communication,English,,
What is the financial amount that the mother of the bride receives upon the marriage contract?,–,"5,000 SAR",Open-ended,Specialized,Dating,English,,
What is the name of the surah in the Quran that is read to declare engagement in West Saudi Arabia?,–,Surat Al-Fatiha,Open-ended,Specialized,Dating,English,,
What is the name of the event that happens to the bride before the wedding in West Saudi Arabia?,–,Ghumrah (bride’s dressing ceremony),Open-ended,Specialized,Dating,English,,
What popular drink is usually served to celebrate the Islamic New Year in West Saudi Arabia?,–,Almond Coffee (White Coffee),Open-ended,Specialized,Celebration,English,,
