Question,Choices,Answer,Question Type,Domain,Category,Language,The Count of Category,Type
What is the most common dish in South Saudi Arabia?,–,"Areeka, Mashghoutha, Raksh dish, Khameer, Lahoh, Haneeth, Aseedah",Open-ended,Common,Food,English,25,Food
What is the most common sweet in South Saudi Arabia?,–,"Marsa (Jazan), Dates",Open-ended,Common,Food,English,6,Clothes
What is the common traditional street food in South Saudi Arabia?,–,"Tanoor Bread, Barbary Fig (Prickly Pear), Corn, Tea",Open-ended,Common,Food,English,4,Celebration
What is the most common breakfast dish in South Saudi Arabia?,–,"Areeka, Tanoor Bread, Ghee, Honey",Open-ended,Common,Food,English,15,Entertainment
What is the common traditional drink in South Saudi Arabia?,–,"Coffee, Qishr (Coffee Husk Drink)",Open-ended,Common,Food,English,26,Crafts and Work
What is the traditional clothing for men in South Saudi Arabia?,–,"Mofraj, Izar (also called Ma’awiz, Maqtab, Fouta, or Musanaf) — a lower-body wrap garment worn by men",Open-ended,Common,Clothes,English,6,Dating
What is the traditional clothing for women in South Saudi Arabia?,–,Thobe Asiri,Open-ended,Common,Clothes,English,4,Languages and Communication
What is the traditional breakfast dish during Eid Al-Fitr in South Saudi Arabia?,–,"Wheat with Ghee and Honey, Mashghoutha, Areeka, Marsa, and Salted Fish",Open-ended,Common,Celebration,English,0,Architecture
What are the common traditional dances in South Saudi Arabia?,–,"Gazwai, Ardah Janoubiyah, La’b Shahri, Khatwah Janoubiyah, Dammah",Open-ended,Common,Celebration,English,,
What is the common traditional music in South Saudi Arabia?,–,Al-Damma,Open-ended,Common,Entertainment,English,,
What is the common traditional craft in South Saudi Arabia?,–,"Wood Dish Crafting (Sihaf), Al-Qatt Al-Asiri Art, Aromatic Plant Decoration (garlands, headbands, bouquets), Land Plowing Tools (Sabt)",Open-ended,Common,Crafts and Work,English,,
What is the name of the items the bride buys for her wedding in South Saudi Arabia?,–,Marwah (traditional bridal set),Open-ended,Common,Dating,English,,
What is the average amount of dowry presented to the wife in Saudi Arabia?,–,"40,000 SAR",Open-ended,Common,Dating,English,,
What is the name of the traditional butter dish served in South Saudi Arabia?,–,Radifah,Open-ended,Specialized,Food,English,,
"What is a popular dish known in the southern region of Saudi Arabia, served hot with honey, ghee, and dates?",–,Mashghoutha,Open-ended,Specialized,Food,English,,
In which regions of Saudi Arabia is the traditional dish “Haneeth” popular?,–,Southern Region,Open-ended,Specialized,Food,English,,
What is the name of the traditional food served to guests in the afternoon in South Saudi Arabia?,–,Wasel,Open-ended,Specialized,Food,English,,
What is the traditional oven or pot used for baking in South Saudi Arabia?,–,Tannour,Open-ended,Specialized,Food,English,,
In which region of Saudi Arabia is “Al-Maghsh” considered a traditional dish?,–,Jazan,Open-ended,Specialized,Food,English,,
What is the name of the traditional clothes in Tehama in South Saudi Arabia?,–,Wizra,Open-ended,Specialized,Clothes,English,,
What are the most common greeting phrases in Al-Baha?,–,"“Marhaban Heel… Ad Al-Seel” (Welcome countless times, like the floodwaters)",Open-ended,Specialized,Languages and Communication,English,,
What is the name of the traditional folklore performed at weddings and for greeting guests from different tribes in South Saudi Arabia?,–,Medgal,Open-ended,Specialized,Dating,English,,
“Beit Al-Esha” is a traditional architectural style. Which region in Saudi Arabia is known for this style?,–,Jazan,Open-ended,Specialized,Crafts and Work,English,,
"In which area is the “vegetative style” architecture, known as “Al-Ishash,” commonly found in the Asir region due to its ease of construction?",–,Tihama,Open-ended,Specialized,Crafts and Work,English,,
In which region of Saudi Arabia is juniper wood (“Arar”) traditionally used in architecture?,–,"Baha, Asir, South",Open-ended,Specialized,Crafts and Work,English,,
"What does the guest room consist of in Jazan, Saudi Arabia?",–,Beds,Open-ended,Specialized,Crafts and Work,English,,
In which region of Saudi Arabia do traditional sitting rooms (majalis) include a stone fireplace used for cooking and preparing coffee in front of guests?,–,Asir,Open-ended,Specialized,Crafts and Work,English,,
The “Sword Dance” is a traditional folk dance in Saudi Arabia associated with which region?,–,Jazan,Open-ended,Specialized,Entertainment,English,,
