Question,Choices,Answer,Question Type,Domain,Category,Language,The Count of Category,Type
What is the most common dish in Northern Saudi Arabia?,–,Al-Marqooq,Open-ended,Common,Food,English,23,Food
What is the most common dessert in Northern Saudi Arabia?,–,Al-Bakliyah,Open-ended,Common,Food,English,4,Clothes
What is the most popular street food in Northern Saudi Arabia?,–,Foul and Hummus,Open-ended,Common,Food,English,2,Celebration
What is the most common breakfast dish in Northern Saudi Arabia?,–,Mrees Al-Tamr,Open-ended,Common,Food,English,14,Entertainment
What is the most popular traditional drink in Northern Saudi Arabia?,–,Bitter Orange Juice,Open-ended,Common,Food,English,2,Crafts and Work
What is the traditional men’s clothing in Northern Saudi Arabia?,–,Al-Sidriyah,Open-ended,Common,Clothes,English,6,Dating
What is the traditional women’s clothing in Northern Saudi Arabia?,–,Al-Sharsh and Al-Madraqah,Open-ended,Common,Clothes,English,2,Languages and Communication
What is the traditional dish for breakfast on Eid Al-Fitr in Northern Saudi Arabia?,–,Hamisat Al-Lahm Wal-Kibdah,Open-ended,Common,Celebration,English,1,Architecture
What are the traditional dances common in Northern Saudi Arabia?,–,Al-Samri and Al-Dhahha,Open-ended,Common,Entertainment,English,,
What is the traditional musical style common in Northern Saudi Arabia?,–,Al-Rababah,Open-ended,Common,Entertainment,English,,
What are the traditional crafts common in Northern Saudi Arabia?,–,"Al-Sadu, dairy products, soap, and olive pressing",Open-ended,Common,Crafts and Work,English,,
What are the items a bride buys for her wedding in Northern Saudi Arabia?,–,Al-Jihaz,Open-ended,Common,Dating,English,,
What is the average dowry given to the bride in Northern Saudi Arabia?,–,"50,000 SAR",Open-ended,Common,Dating,English,,
What are some traditional meals associated with Eid Al-Adha in Northern Saudi Arabia?,–,"Mansaf, Kabsa, Haneeth, Mufatah, Jareesh, Qursan",Open-ended,Specialized,Food,English,,
What are the most common greetings in Northern Saudi Arabia?,–,"Haywah, Yallah Haywah",Open-ended,Specialized,Languages and Communication,English,,
What does placing your hand over a coffee cup mean in Northern Saudi culture?,–,Enough (contentment),Open-ended,Specialized,Food,English,,
What is the typical amount of coffee served to guests in Northern Saudi Arabia?,–,One-third of the cup,Open-ended,Specialized,Food,English,,
Is it acceptable for the host to eat with the guests in Northern Saudi hospitality?,–,Not acceptable,Open-ended,Specialized,Food,English,,
Is it acceptable to serve coffee before dates in Northern Saudi hospitality?,–,Not acceptable,Open-ended,Specialized,Food,English,,
What is the name of the night before Eid in the Northern region of Saudi Arabia?,–,Laylat Al-Khidhab (Henna Night),Open-ended,Specialized,Dating,English,,
"Where is the traditional game ""Al-Fashaq"" popular in Saudi Arabia?",–,Northern Saudi Arabia,Open-ended,Specialized,Entertainment,English,,
What is the Saudi traditional game similar to bowling in Northern Saudi Arabia?,–,Al-Fashaq,Open-ended,Specialized,Entertainment,English,,
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",–,Northern Saudi Arabia,Open-ended,Specialized,Entertainment,English,,
"When is the game ""Adheem Lah Wayn Gada Wayn Rah"" played in Northern Saudi Arabia?",–,During full moon nights,Open-ended,Specialized,Entertainment,English,,
What is the most common dish in Northern Saudi Arabia?,A. Al-Mansaf B. Al-Saliq C. Al-Mandi D. Al-Haneeth,A,MCQ single-choice,Common,Food,English,,
What is the most common dessert in Northern Saudi Arabia?,A. Al-Bakliyah B. Luqaimat C. Kunafa D. Al-Kleija,A,MCQ single-choice,Common,Food,English,,
What is the most popular street food in Northern Saudi Arabia?,A. Foul and Hummus B. Shawarma C. Mutabbaq D. Falafel,A,MCQ single-choice,Common,Food,English,,
What is the most common breakfast dish in Northern Saudi Arabia?,A. Balaleet B. Areeka C. Foul and Tamees D. Mrees Al-Tamr,D,MCQ single-choice,Common,Food,English,,
What is the most popular traditional drink in Northern Saudi Arabia?,A. Sobia B. Qishr Al-Tamr C. Cinnamon D. Bitter Orange Juice,D,MCQ single-choice,Common,Food,English,,
