Question,Choices,Answer,Question Type,Domain,Category,Language,The Count of Category,Type
What is the most common dish in East Saudi Arabia?,–,"Al-Mahammar, Al-Thareed, Al-Mufallaq Al-Hasawi, Al-Makbous",Open-ended,Common,Food,English,19,Food
What is the most common sweet in East Saudi Arabia?,–,"Al-Mafrouka, Al-Hanini, Al-Sago",Open-ended,Common,Food,English,6,Clothes
What is the common traditional street food in East Saudi Arabia?,–,"Samosa, Falafel, Mutabbaq",Open-ended,Common,Food,English,6,Celebration
What is the most common breakfast dish in East Saudi Arabia?,–,Balaleet (sweet vermicelli with egg),Open-ended,Common,Food,English,10,Entertainment
What is the common traditional drink in East Saudi Arabia?,–,Tea with Taif Rose,Open-ended,Common,Food,English,20,Crafts and Work
What is the traditional clothing for men in East Saudi Arabia?,–,Dishdasha (Thobe),Open-ended,Common,Clothes,English,4,Dating
What is the traditional clothing for women in East Saudi Arabia?,–,"Daraa, Thobe Hashemi, Masrah, Manthour, Thobe Al-Thuraya, Abaya, Sheilah, Nafnaf",Open-ended,Common,Clothes,English,0,Languages and Communication
What is the traditional breakfast dish during Eid Al-Fitr in East Saudi Arabia?,–,"Balaleet, Aseeda, Fateet, Liver, Zalabia",Open-ended,Common,Celebration,English,2,Architecture
What are the common traditional dances in East Saudi Arabia?,–,"Ardah Saifiyah (Sword Dance), Fijri Art (Hasawi Style), Daq Al-Hubb, Harvest Dance, Freisa Dance",Open-ended,Common,Celebration,English,,
What is the common traditional music in East Saudi Arabia?,–,"Fijri, Nahhamah (sea chant), Liwa",Open-ended,Common,Entertainment,English,,
What is the common traditional craft in East Saudi Arabia?,–,"Pottery, Palm-Frond Weaving (Khoos), Cloak Weaving (Mishlah), Rope Making, Leatherwork, Sword Making, Basket Weaving, Metalwork, Fish Traps (Gargoor)",Open-ended,Common,Crafts and Work,English,,
What is the name of the items the bride buys for her wedding in East Saudi Arabia?,–,Shabkah (Bridal Jewelry Set),Open-ended,Common,Dating,English,,
What is the average amount of dowry presented to the wife in East Saudi Arabia?,–,"25,000–60,000 SAR",Open-ended,Common,Dating,English,,
"What type of dessert dish in the Eastern Province of Saudi Arabia is made from starchy granules, water, sugar, and ghee?",–,Sago (Al-Sago),Open-ended,Specialized,Food,English,,
"What is a traditional dish of the Eastern Province, eaten on the first day of Eid Al-Fitr, made of mashed dates, ghee, and flour?",–,Al-Mamroos,Open-ended,Specialized,Food,English,,
What is Harees soup made of in the east of Saudi Arabia?,–,Hassawi wheat,Open-ended,Specialized,Food,English,,
What is the dish from the east that relies on rice cooked with sugar and served with fried fish?,–,Al-Mahammar,Open-ended,Specialized,Food,English,,
"What is the name of the striped fabric worn by men around the lower body, especially by divers in the east?",–,Izar,Open-ended,Specialized,Clothes,English,,
"What is the name of the traditional sea folklore of Saudi Arabia, common in the east, especially in Qatif?",–,Sanakli Art,Open-ended,Specialized,Entertainment,English,,
What is the name of the traditional game popular in Darin Center in the Eastern Region of Saudi Arabia?,–,Jadeer,Open-ended,Specialized,Entertainment,English,,
